CM_Id,BankName,Type,CharterType,Headquarters,FailureDate,InsuranceFund,TransactionType,TotalDeposits,TotalAssets
CM-196,first international bank,COMMERCIAL BANK,STATE,"MINOT, ND",12/19/1936,FDIC,ACQUISITION,360,
CM-197,northern and dakota trust company,COMMERCIAL BANK,STATE,"FARGO, ND",12/19/1936,FDIC,ACQUISITION,479,
CM-198,first state bank,COMMERCIAL BANK,STATE,"COTEAU, ND",12/21/1936,FDIC,ACQUISITION,43,
CM-199,the cummings state bank,COMMERCIAL BANK,STATE,"CUMMINGS, ND",12/21/1936,FDIC,ACQUISITION,30,
CM-200,bank of berthold,COMMERCIAL BANK,STATE,"BERTHOLD, ND",12/21/1936,FDIC,ACQUISITION,84,
CM-201,first state bank of max,COMMERCIAL BANK,STATE,"MAX, ND",12/21/1936,FDIC,ACQUISITION,100,
CM-202,reservation state bank,COMMERCIAL BANK,STATE,"MAKOTI, ND",12/21/1936,FDIC,ACQUISITION,78,
CM-203,first state bank of powers lake,COMMERCIAL BANK,STATE,"POWERS LAKE, ND",12/21/1936,FDIC,ACQUISITION,76,
CM-204,central state bank of sherman,COMMERCIAL BANK,STATE,"SHERMAN, TX",12/31/1936,FDIC,PAYOUT,219,312
CM-205,bank of houghton,COMMERCIAL BANK,STATE,"HOUGHTON, SD",1/12/1937,FDIC,PAYOUT,50,82
CM-206,sargent county bank,COMMERCIAL BANK,STATE,"FORMAN, ND",1/14/1937,FDIC,ACQUISITION,154,
CM-207,farmers bank of trenton,COMMERCIAL BANK,STATE,"TRENTON, MO",2/10/1937,FDIC,PAYOUT,323,335
CM-208,akaska state bank,COMMERCIAL BANK,STATE,"AKASKA, SD",2/18/1937,FDIC,PAYOUT,62,92
CM-209,farmers state bank,COMMERCIAL BANK,STATE,"CORSICA, SD",2/18/1937,FDIC,PAYOUT,164,205
CM-210,the first national bank of ismay,COMMERCIAL BANK,FEDERAL,"ISMAY, MT",2/20/1937,FDIC,ACQUISITION,83,
CM-211,the citizens state bank of lebanon,COMMERCIAL BANK,STATE,"LEBANON, SD",2/20/1937,FDIC,PAYOUT,112,154
CM-212,rio state bank,COMMERCIAL BANK,STATE,"RIO, IL",3/26/1937,FDIC,PAYOUT,329,384
CM-213,first international bank,COMMERCIAL BANK,STATE,"NOONAN, ND",4/3/1937,FDIC,PAYOUT,139,192
CM-214,texas state bank and trust company,COMMERCIAL BANK,STATE,"CORPUS CHRISTI, TX",4/8/1937,FDIC,PAYOUT,419,628
CM-215,first state bank,COMMERCIAL BANK,STATE,"ARLINGTON, TX",4/12/1937,FDIC,PAYOUT,720,719
CM-216,robbins bank & trust company,COMMERCIAL BANK,STATE,"ROBBINS, TN",4/15/1937,FDIC,ACQUISITION,29,
CM-217,bank of eureka,COMMERCIAL BANK,STATE,"EUREKA, MO",4/23/1937,FDIC,PAYOUT,57,70
CM-218,whitewood banking company,COMMERCIAL BANK,STATE,"WHITEWOOD, SD",4/29/1937,FDIC,PAYOUT,88,124
CM-219,st. onge state bank,COMMERCIAL BANK,STATE,"ST. ONGE, SD",4/30/1937,FDIC,PAYOUT,61,81
CM-220,the citizens bank,COMMERCIAL BANK,STATE,"BUCKLIN, MO",5/1/1937,FDIC,PAYOUT,141,157
CM-221,farmers & merchants trust bank,COMMERCIAL BANK,STATE,"CAPE CHARLES, VA",5/22/1937,FDIC,ACQUISITION,844,
CM-222,the farmers national bank of grayville,COMMERCIAL BANK,FEDERAL,"GRAYVILLE, IL",5/27/1937,FDIC,ACQUISITION,258,
CM-223,carroll exchange bank,COMMERCIAL BANK,STATE,"CARROLLTON, MO",5/29/1937,FDIC,ACQUISITION,787,
CM-224,the first national bank of mahanoy city,COMMERCIAL BANK,FEDERAL,"MAHANOY CITY, PA",6/5/1937,FDIC,ACQUISITION,2060,
CM-225,coloma state bank,COMMERCIAL BANK,STATE,"COLOMA, WI",6/14/1937,FDIC,PAYOUT,79,94
CM-226,the romney bank,COMMERCIAL BANK,STATE,"ROMNEY, IN",6/15/1937,FDIC,PAYOUT,56,64
CM-227,the first national bank of pukwana,COMMERCIAL BANK,FEDERAL,"PUKWANA, SD",6/16/1937,FDIC,ACQUISITION,127,
CM-228,union state bank and trust company,COMMERCIAL BANK,STATE,"BRYAN, TX",6/16/1937,FDIC,PAYOUT,302,359
CM-229,the state bank of marcellus,COMMERCIAL BANK,STATE,"MARCELLUS, MI",6/17/1937,FDIC,PAYOUT,64,95
CM-230,hardin trust company,COMMERCIAL BANK,STATE,"HARDIN, MO",6/18/1937,FDIC,PAYOUT,225,259
CM-231,amite river bank,COMMERCIAL BANK,STATE,"DENHAM SPRINGS, LA",6/23/1937,FDIC,PAYOUT,248,308
CM-232,ghent deposit bank,COMMERCIAL BANK,STATE,"GHENT, KY",6/26/1937,FDIC,PAYOUT,189,223
CM-233,first state bank of south san antonio,COMMERCIAL BANK,STATE,"SAN ANTONIO, TX",6/29/1937,FDIC,PAYOUT,490,514
CM-234,the taylor national bank of campbellsville,COMMERCIAL BANK,FEDERAL,"CAMPBELLSVILLE, KY",6/30/1937,FDIC,PAYOUT,914,1651
CM-235,american bank,COMMERCIAL BANK,STATE,"HIGGINSVILLE, MO",7/3/1937,FDIC,ACQUISITION,206,
CM-236,bank of sturgis,COMMERCIAL BANK,STATE,"STURGIS, KY",7/3/1937,FDIC,PAYOUT,213,246
CM-237,bank of anutt,COMMERCIAL BANK,STATE,"ANUTT, MO",7/12/1937,FDIC,ACQUISITION,33,
CM-238,chattooga county bank,COMMERCIAL BANK,STATE,"SUMMERVILLE, GA",7/13/1937,FDIC,PAYOUT,205,265
CM-239,farmers state bank of bainville,COMMERCIAL BANK,STATE,"BAINVILLE, MT",7/13/1937,FDIC,PAYOUT,54,104
CM-240,farmers & merchants bank,COMMERCIAL BANK,STATE,"NEWBERN, TN",7/17/1937,FDIC,PAYOUT,189,264
CM-241,"peoples bank of bloxom, INC.",COMMERCIAL BANK,STATE,"BLOXOM, VA",7/19/1937,FDIC,PAYOUT,63,
CM-242,michigan city trust & savings bank,COMMERCIAL BANK,STATE,"MICHIGAN CITY, IN",7/20/1937,FDIC,ACQUISITION,983,
CM-243,first bank & trust company of hamilton,COMMERCIAL BANK,STATE,"HAMILTON, MO",7/24/1937,FDIC,PAYOUT,544,698
CM-244,kochan banking company,COMMERCIAL BANK,STATE,"MAYSVILLE, MO",8/5/1937,FDIC,ACQUISITION,173,
CM-245,the bank of noel,COMMERCIAL BANK,STATE,"NOEL, MO",8/11/1937,FDIC,PAYOUT,108,135
CM-246,the first national bank of albertville,COMMERCIAL BANK,FEDERAL,"ALBERTVILLE, AL",8/12/1937,FDIC,ACQUISITION,428,
CM-247,the fort greene national bank in new york,COMMERCIAL BANK,FEDERAL,"BROOKLYN, NY",8/14/1937,FDIC,PAYOUT,1987,2379
CM-248,farmers and merchants bank,COMMERCIAL BANK,STATE,"BRILLION, WI",8/21/1937,FDIC,ACQUISITION,159,
CM-249,farmers bank & trust company,COMMERCIAL BANK,STATE,"CHARLES TOWN, WV",8/31/1937,FDIC,PAYOUT,1361,1262
CM-250,roanoke state bank,COMMERCIAL BANK,STATE,"ROANOKE, IL",9/8/1937,FDIC,PAYOUT,280,265
CM-251,stoneham trust company,COMMERCIAL BANK,STATE,"STONEHAM, MA",9/11/1937,FDIC,ACQUISITION,809,
CM-252,the bank of galena,COMMERCIAL BANK,STATE,"GALENA, MO",9/14/1937,FDIC,PAYOUT,76,93
CM-253,burt state bank,COMMERCIAL BANK,STATE,"BURT, ND",9/25/1937,FDIC,PAYOUT,39,63
CM-254,westwood trust company,COMMERCIAL BANK,STATE,"WESTWOOD, NJ",9/30/1937,FDIC,ACQUISITION,648,
CM-255,the first national bank of lovelady,COMMERCIAL BANK,FEDERAL,"LOVELADY, TX",10/1/1937,FDIC,ACQUISITION,78,
CM-256,ringgold state bank,COMMERCIAL BANK,STATE,"RINGGOLD, TX",10/1/1937,FDIC,PAYOUT,51,92
CM-257,the first national bank of perth amboy,COMMERCIAL BANK,FEDERAL,"PERTH AMBOY, NJ",10/2/1937,FDIC,ACQUISITION,3660,
CM-258,the raritan trust company,COMMERCIAL BANK,STATE,"PERTH AMBOY, NJ",10/2/1937,FDIC,PAYOUT,365,707
CM-259,perth amboy trust company,COMMERCIAL BANK,STATE,"PERTH AMBOY, NJ",10/2/1937,FDIC,PAYOUT,1344,2899
CM-260,farmers state bank of carlisle,COMMERCIAL BANK,STATE,"CARLISLE, MN",10/7/1937,FDIC,PAYOUT,82,99
CM-261,state bank of mundelein,COMMERCIAL BANK,STATE,"MUNDELEIN, IL",10/18/1937,FDIC,ACQUISITION,522,
CM-262,the first national bank in burlington,COMMERCIAL BANK,FEDERAL,"BURLINGTON, IA",10/20/1937,FDIC,ACQUISITION,3594,
CM-263,the nescopeck national bank,COMMERCIAL BANK,FEDERAL,"NESCOPECK, PA",10/22/1937,FDIC,PAYOUT,329,397
CM-264,the little ferry national bank,COMMERCIAL BANK,FEDERAL,"LITTLE FERRY, NJ",10/22/1937,FDIC,ACQUISITION,744,
CM-265,farmers state bank,COMMERCIAL BANK,STATE,"WYNDMERE, ND",10/23/1937,FDIC,PAYOUT,72,100
CM-266,first state bank,COMMERCIAL BANK,STATE,"BARBOURVILLE, KY",10/29/1937,FDIC,PAYOUT,391,425
CM-267,farmers & merchants bank of elgin,COMMERCIAL BANK,STATE,"ELGIN, ND",10/30/1937,FDIC,PAYOUT,35,57
CM-268,carter county commercial bank,COMMERCIAL BANK,STATE,"OLIVE HILL, KY",10/30/1937,FDIC,PAYOUT,109,139
CM-269,first state bank,COMMERCIAL BANK,STATE,"CENTER, ND",11/1/1937,FDIC,PAYOUT,52,80
CM-270,bank of alba,COMMERCIAL BANK,STATE,"ALBA, MO",11/1/1937,FDIC,PAYOUT,79,97
CM-271,commercial bank & trust company,COMMERCIAL BANK,STATE,"UNION CITY, IN",11/4/1937,FDIC,PAYOUT,733,853
CM-272,bank of swifton,COMMERCIAL BANK,STATE,"SWIFTON, AR",11/19/1937,FDIC,PAYOUT,157,208
CM-273,first state bank of cobden,COMMERCIAL BANK,STATE,"COBDEN, IL",11/24/1937,FDIC,ACQUISITION,52,
CM-274,loganville state bank,COMMERCIAL BANK,STATE,"LOGANVILLE, WI",11/27/1937,FDIC,ACQUISITION,489,
CM-275,sterling state bank,COMMERCIAL BANK,STATE,"STERLING, ND",11/30/1937,FDIC,PAYOUT,84,121
CM-276,peoples united bank,COMMERCIAL BANK,STATE,"SOUTHPORT, NC",12/2/1937,FDIC,ACQUISITION,162,
CM-277,nevada trust company,COMMERCIAL BANK,STATE,"NEVADA, MO",12/2/1937,FDIC,PAYOUT,189,242
CM-278,big falls state bank,COMMERCIAL BANK,STATE,"BIG FALLS, WI",12/17/1937,FDIC,PAYOUT,85,103
CM-279,first nat bk & tr co. of manhasset,COMMERCIAL BANK,FEDERAL,"MANHASSET, NY",12/20/1937,FDIC,ACQUISITION,1214,
CM-280,worthville deposit bank,COMMERCIAL BANK,STATE,"WORTHVILLE, KY",1/11/1938,FDIC,PAYOUT,116,141
CM-281,bank of decatur,COMMERCIAL BANK,STATE,"DECATUR, AR",1/19/1938,FDIC,PAYOUT,84,97
CM-282,first state bank of wolsey,COMMERCIAL BANK,STATE,"WOLSEY, SD",1/21/1938,FDIC,PAYOUT,90,123
CM-283,the woodman state bank,COMMERCIAL BANK,STATE,"WOODMAN, WI",1/22/1938,FDIC,ACQUISITION,152,
CM-284,belleville bank & trust company,COMMERCIAL BANK,STATE,"BELLEVILLE, IL",1/26/1938,FDIC,ACQUISITION,2795,
CM-285,the trout creek state bank,COMMERCIAL BANK,STATE,"TROUT CREEK, MI",1/28/1938,FDIC,PAYOUT,22,46
CM-286,the bank of fremont,COMMERCIAL BANK,STATE,"FREMONT, NC",1/29/1938,FDIC,ACQUISITION,341,
CM-287,pollock state bank,COMMERCIAL BANK,STATE,"POLLOCK, SD",2/1/1938,FDIC,PAYOUT,56,103
CM-288,the first state bank of lathrop,COMMERCIAL BANK,STATE,"LATHROP, MO",2/1/1938,FDIC,PAYOUT,125,163
CM-289,farmers security bank,COMMERCIAL BANK,STATE,"MAYWOOD, NE",2/1/1938,FDIC,PAYOUT,186,213
CM-290,bank of marion,COMMERCIAL BANK,STATE,"MARION, AR",2/7/1938,FDIC,PAYOUT,554,639
CM-291,the briggsdale state bank,COMMERCIAL BANK,STATE,"BRIGGSDALE, CO",2/10/1938,FDIC,PAYOUT,8,14
CM-292,peoples bank & trust company,COMMERCIAL BANK,STATE,"SPARTA, TN",2/10/1938,FDIC,ACQUISITION,123,
CM-293,bank of strafford,COMMERCIAL BANK,STATE,"STRAFFORD, MO",2/10/1938,FDIC,PAYOUT,122,136
CM-294,the first national bank of purdon,COMMERCIAL BANK,FEDERAL,"PURDON, TX",2/12/1938,FDIC,PAYOUT,36,63
CM-295,farmers bank of blackburn,COMMERCIAL BANK,STATE,"BLACKBURN, MO",2/17/1938,FDIC,PAYOUT,51,79
CM-296,state bank of surprise,COMMERCIAL BANK,STATE,"SURPRISE, NE",2/28/1938,FDIC,PAYOUT,56,65
CM-297,citizens state bank,COMMERCIAL BANK,STATE,"HARTFORD, AR",3/2/1938,FDIC,PAYOUT,94,118
CM-298,"bank of northampton, INCORPORATED",COMMERCIAL BANK,STATE,"NASSAWADOX, VA",3/3/1938,FDIC,ACQUISITION,300,
CM-299,home savings bank,COMMERCIAL BANK,STATE,"DES MOINES, IA",3/5/1938,FDIC,ACQUISITION,1246,
CM-300,first state bank,COMMERCIAL BANK,STATE,"KULM, ND",3/14/1938,FDIC,PAYOUT,142,212
CM-301,the borden state bank,COMMERCIAL BANK,STATE,"BORDEN, IN",3/18/1938,FDIC,PAYOUT,135,165
CM-302,merchants' and mechanics' savings bank of norfolk,COMMERCIAL BANK,STATE,"NORFOLK, VA",3/26/1938,FDIC,ACQUISITION,2941,
CM-303,margate trust company,COMMERCIAL BANK,STATE,"MARGATE CITY, NJ",4/2/1938,FDIC,PAYOUT,367,702
CM-304,bank of ellenboro,COMMERCIAL BANK,STATE,"ELLENBORO, NC",4/9/1938,FDIC,ACQUISITION,54,
CM-305,the city national bank of harrisburg,COMMERCIAL BANK,FEDERAL,"HARRISBURG, IL",4/9/1938,FDIC,ACQUISITION,2795,
CM-306,the first state bank,COMMERCIAL BANK,STATE,"COLFAX, ND",4/9/1938,FDIC,PAYOUT,83,117
CM-307,west jersey trust company,COMMERCIAL BANK,STATE,"CAMDEN, NJ",4/11/1938,FDIC,ACQUISITION,8985,
CM-308,camden safe deposit & trust company,COMMERCIAL BANK,STATE,"CAMDEN, NJ",4/11/1938,FDIC,ACQUISITION,22564,
CM-309,first state bank of ipswich,COMMERCIAL BANK,STATE,"IPSWICH, SD",4/12/1938,FDIC,PAYOUT,184,210
CM-310,first state bank,COMMERCIAL BANK,STATE,"TURTLE LAKE, ND",4/19/1938,FDIC,PAYOUT,144,186
CM-311,bank of humboldt,COMMERCIAL BANK,STATE,"HUMBOLDT, SD",4/19/1938,FDIC,PAYOUT,131,194
CM-312,caroline state bank,COMMERCIAL BANK,STATE,"CAROLINE, WI",4/20/1938,FDIC,PAYOUT,134,168
CM-313,state bank of irene,COMMERCIAL BANK,STATE,"IRENE, SD",4/25/1938,FDIC,PAYOUT,142,176
CM-314,sussex state bank,COMMERCIAL BANK,STATE,"SUSSEX, WI",5/14/1938,FDIC,ACQUISITION,290,
CM-315,citizens state bank of andover,COMMERCIAL BANK,STATE,"ANDOVER, SD",5/17/1938,FDIC,PAYOUT,48,78
