FB_Id,CERT,ReportingDate,BankName,CITY,COUNTY,STATE,TotalOffices,TotalEmployees,TotalAssets,NetLoansLeases,NoncurrentLloansLeases,BankPremisesFixedAssets,GoodwillOtherIntangibles,TotalLiabilities,TotalDeposits,InterestBearingDeposits,BankEquityCapital,UndividedProfits,NumberCommercialBanks,NetInterestMargin,PrimeLoanRate,FederalFundsRate,GDPPerCapita,GDPGrowthPerCapitaQuarterToQuarter,GDPInBillions,GDPGrowthQuarterToQuarter,ClosingDate, Failure,
73,57186,20/01/12,central florida state bank,Belleview,Marion,FL,2,16,54373,40273,7271,2299,0,53252,53082,50660,1121,1121,6110,3.39,3.25,0.16,51388,0.033568656,15380.802,0.001196882,20/01/12,1,
74,19657,18/11/11,central progressive bank,Lacombe,Saint Tammany,LA,1,17,73066,53759,6021,417,0,71631,67471,61723,1435,-8062,6297,3.55,3.25,0.07,51388,0.033568656,15021.149,0.002107734,18/11/11,1,
75,32267,13/11/09,"century bank, F.S.B.",Sarasota,Sarasota,FL,1,17,98635,70203,4728,652,0,102118,101127,81080,-3483,-20619,6478,3.7,3.25,0.19,49719,0.029314949,14939.001,0.006301119, 13/11/09,1,
76,58104,19/03/10,century security bank,Duluth,Fulton,GA,3,29,238205,155229,36481,493,0,236681,222161,212201,1524,-24891,6402,3.56,3.25,0.16,49719,0.029314949,14881.301,-0.003862373,19/03/10,1,
77,30005,30/04/10,cf bancorp,Port Huron,Saint Clair,MI,12,283,1895545,1577198,614695,25914,417,1857943,1815691,1799078,37602,-103923,7137,3.31,5,1.98,48330,0.007147769,14963.357,0.004963716,30/04/10,1,
78,58362,30/04/10,champion bank,Creve Coeur,Saint Louis,MO,1,12,65686,38361,3020,4584,0,65325,64888,63010,361,-3073,6036,3.37,3.25,0.16,52726,0.026037207,15384.254,0.000224436,30/04/10,1,
79,32498,22/01/10,charter bank,Santa Fe,Santa Fe,NM,23,261,2612515,1793498,325356,72577,0,2548233,2169446,2066673,64282,-44782,6785,3.47,3.25,0.12,48303,0.029256339,14541.901,0.009680557,22/01/10,1,
80,23187,10/2/2012,charter national bank and trust,Hoffman Estates,Cook,IL,4,20,71485,46065,15264,4833,0,71155,71080,68354,330,-14470,6208,3.45,3.25,0.1,51388,0.033568656,15291.035,0.006634517,10/2/2012,1,
81,57855,18/02/11,charter oak bank,Napa,Napa,CA,2,15,80343,52822,16758,2954,0,81078,80985,78610,-735,-9705,6570,3.73,3.25,0.18,48303,0.029256339,14845.458,0.006749319,18/02/11,1,
82,34578,17/12/10,chestatee state bank,Dawsonville,Dawson,GA,2,22,198993,106234,15552,4546,0,197668,178773,173459,1325,-18734,6238,3.53,3.25,0.07,51388,0.033568656,15190.255,0.011257861,17/12/10,1,
83,34658,23/04/10,citizens bank and trust company of chicago,Chicago,Cook,IL,4,30,158517,75087,21640,4553,0,144945,143834,133274,13572,-20021,6855,3.37,3.25,0.16,48303,0.029256339,14402.477,0.003268351,23/04/10,1,
84,34601,18/02/11,citizens bank of effingham,Springfield,Effingham,GA,3,66,447239,384166,122741,7630,0,442764,438999,395761,4475,-31525,6623,3.77,3.25,0.2,48303,0.029256339,14745.933,0.009660356,18/02/11,1,
85,33983,23/09/11,citizens bank of northern california,Nevada City,Nevada,CA,2,19,150962,69666,11410,2275,0,148024,147896,143843,2938,-10678,6110,3.39,3.25,0.16,51388,0.033568656,15380.802,0.001196882,23/09/11,1,
86,57563,1/5/2009,citizens community bank,Ridgewood,Bergen,NJ,4,64,314019,221211,39897,8231,0,313167,290005,241643,852,-29139,6359,3.54,3.25,0.1,49719,0.029314949,14989.555,0.007274498,1/5/2009,1,
87,3731,2/11/2012,citizens first national bank,Princeton,Bureau,IL,14,224,1397798,1079328,273723,19266,0,1396920,1372744,1267090,878,-216708,6855,3.37,3.25,0.16,48303,0.029256339,14402.477,0.003268351,2/11/2012,1,
88,5757,22/05/09,citizens national bank,Macomb,Mcdonough,IL,21,200,968385,650046,118634,32376,0,976937,917729,822201,-8552,-42491,6785,3.47,3.25,0.15,48303,0.029256339,14541.901,0.009680557,22/05/09,1,
89,25222,30/10/09,citizens national bank,Teague,Freestone,TX,6,53,266482,213746,36654,1014,0,266654,244362,217821,-172,-19715,6297,3.55,3.25,0.1,51388,0.033568656,15021.149,0.002107734,30/10/09,1,
90,1006,18/12/09,citizens state bank,New Baltimore,Macomb,MI,6,61,270842,196627,25153,10544,0,260773,256793,247720,10069,-25919,7022,3.15,4,0.39,46930,-0.028967515,14576.985,-0.021129838,18/12/09,1,
91,21521,16/04/10,city bank,Lynnwood,Snohomish,WA,7,78,511103,392264,59080,2644,719,495270,421271,396707,15833,-15967,6719,3.83,3.25,0.12,48303,0.029256339,14604.845,0.004328457,16/04/10,1,
92,34898,6/5/2011,coastal bank,Cocoa Beach,Brevard,FL,4,24,127455,49705,3830,7884,0,124967,121645,103457,2488,-1057,6719,3.83,3.25,0.12,48303,0.029256339,14604.845,0.004328457,6/5/2011,1,
93,9619,30/07/10,coastal community bank,Panama City Beach,Bay,FL,2,23,125976,80861,13929,5302,0,127055,112050,105490,-1079,-21374,6208,3.45,3.25,0.07,51388,0.033568656,15291.035,0.006634517,30/07/10,1,
94,9609,14/08/09,colonial bank,Montgomery,Montgomery,AL,27,119,351492,221258,36902,8870,700,336776,280649,250271,14716,-10422,6238,3.53,3.25,0.07,51388,0.033568656,15190.255,0.011257861,14/08/09,1,
95,34522,8/7/2011,colorado capital bank,Castle Rock,Douglas,CO,1,8,83493,65744,6000,159,0,82994,72955,71840,499,-20324,6297,3.55,3.25,0.1,51388,0.033568656,15021.149,0.002107734,8/7/2011,1,
96,18896,20/03/09,colorado national bank,Colorado Springs,El Paso,CO,4,30,112643,74750,7269,894,0,110371,104505,101948,2272,-11019,6402,3.56,3.25,0.18,49719,0.029314949,14881.301,-0.003862373,20/03/09,1,
97,22469,22/01/10,columbia river bank,The Dalles,Wasco,OR,5,42,173062,117037,22111,1062,0,196450,182760,160846,-23388,-39135,6719,3.83,3.25,0.12,48303,0.029256339,14604.845,0.004328457,22/01/10,1,
98,22728,22/08/08,columbian bank & trust,Topeka,Shawnee,KS,61,817,3393818,1731675,237303,107867,1958,3398170,2724475,2273281,-4433,-119652,6623,3.77,3.25,0.2,48303,0.029256339,14745.933,0.009660356,22/08/08,1,
99,58016,20/11/09,commerce bank of southwest florida,Fort Myers,Lee,FL,3,227,1774588,1440662,246837,9743,0,1714079,1496347,1457572,60509,-63930,6938,3.32,3.25,0.15,46930,-0.028967515,14355.558,-0.001353737,20/11/09,1,
100,16490,21/11/08,community bank,Loganville,Walton,GA,29,366,3594544,2383972,175158,27744,0,3475792,2891576,2678466,118752,29598,6785,3.47,3.25,0.12,48303,0.029256339,14541.901,0.009680557,21/11/08,1,
101,5702,29/01/10,community bank and trust,Cornelia,Habersham,GA,7,80,395980,346205,72572,3201,0,388770,340378,301600,7210,-20613,6719,3.83,3.25,0.13,48303,0.029256339,14604.845,0.004328457,29/01/10,1,
102,57645,14/08/09,community bank of arizona,Phoenix,Maricopa,AZ,2,27,120833,101296,8980,1241,0,120246,105309,73178,587,-18270,6359,3.54,3.25,0.14,49719,0.029314949,14989.555,0.007274498,14/08/09,1,
103,35291,30/10/09,community bank of lemont,Lemont,Cook,IL,2,32,96584,74214,5492,3184,465,94803,63291,59098,1781,-904,6570,3.73,3.25,0.18,49719,0.029314949,14845.458,0.006749319,30/10/09,1,
104,34043,14/08/09,community bank of nevada,Las Vegas,Clark,NV,1,124,1525931,591839,71142,2455,0,1566482,1519471,1498734,-40551,-133758,6623,3.77,3.25,0.2,48303,0.029256339,14745.933,0.009660356,14/08/09,1,
105,57860,10/11/2011,community bank of rockmart,Rockmart,Polk,GA,4,39,172454,101613,12373,5467,0,167834,159048,153001,4620,-8714,6938,3.32,3.25,0.18,46930,-0.028967515,14355.558,-0.001353737,10/11/2011,1,
106,27331,14/12/12,community bank of the ozarks,Sunrise Beach,Camden,MO,5,49,240949,140030,23233,8375,0,240684,193694,176711,265,-16566,6402,3.56,3.25,0.16,49719,0.029314949,14881.301,-0.003862373,14/12/12,1,
107,57436,26/06/09,community bank of west georgia,Villa Rica,Carroll,GA,3,33,134206,106247,30407,5553,0,131321,115976,107369,2885,-7298,6938,3.32,3.25,0.18,46930,-0.028967515,14355.558,-0.001353737,26/06/09,1,
108,21132,21/10/11,community banks of colorado,Greenwood Village,Arapahoe,CO,8,90,440122,305500,29348,5733,22,433870,369617,355308,6252,6252,6623,3.77,3.25,0.2,48303,0.029256339,14745.933,0.009660356,21/10/11,1,
109,57036,21/10/11,community capital bank,Jonesboro,Clayton,GA,2,43,90867,63966,22109,1926,0,98622,98161,86130,-7755,-9555,6855,3.37,3.25,0.16,48303,0.029256339,14402.477,0.003268351,21/10/11,1,
110,34234,29/04/11,community central bank,Mount Clemens,Macomb,MI,1,9,70997,51135,9678,898,0,73049,72821,67094,-2052,-12990,6719,3.83,3.25,0.12,48303,0.029256339,14604.845,0.004328457,29/04/11,1,
111,23268,7/8/2009,community first bank,Prineville,Crook,OR,2,28,141016,99933,10855,4188,6,137874,137215,124420,3143,-13407,6238,3.53,3.25,0.08,51388,0.033568656,15190.255,0.011257861,7/8/2009,1,
112,57948,4/2/2011,community first bank chicago,Chicago,Cook,IL,3,101,448150,308714,69719,3219,150,448925,374218,312147,-775,-47800,6402,3.56,3.25,0.17,49719,0.029314949,14881.301,-0.003862373,4/2/2011,1,
113,23306,17/12/10,community national bank,Lino Lakes,Anoka,MN,4,33,177563,114916,24797,7748,0,180598,170118,161738,-3035,-22561,6785,3.47,3.25,0.12,48303,0.029256339,14541.901,0.009680557,17/12/10,1,
114,25266,20/08/10,community national bank at bartow,Bartow,Polk,FL,4,58,245534,177536,14076,7159,0,245805,227420,199747,-271,-169,6623,3.77,3.25,0.2,48303,0.029256339,14745.933,0.009660356,20/08/10,1,
115,27183,7/8/2009,community national bank of sarasota county,Venice,Sarasota,FL,4,27,52204,30098,3004,1983,0,51390,43635,36707,814,-7011,6623,3.77,3.25,0.2,48303,0.029256339,14745.933,0.009660356,7/8/2009,1,
116,34486,23/07/10,community security bank,New Prague,Scott,MN,4,23,240513,189282,30597,904,0,242690,224024,196576,-2177,-28474,6570,3.73,3.25,0.18,48303,0.029256339,14845.458,0.006749319,23/07/10,1,
117,57868,21/01/11,communitysouth bank & trust,Easley,Pickens,SC,1,23,100649,69455,14856,843,0,101049,95100,87912,-400,-8960,6570,3.73,3.25,0.19,49719,0.029314949,14845.458,0.006749319,21/01/11,1,
118,27837,19/06/09,cooperative bank,Wilmington,New Hanover,NC,9,65,228328,141509,15381,8485,0,230015,205035,158912,-1687,-13287,6359,3.54,3.25,0.1,49719,0.029314949,14989.555,0.007274498,19/06/09,1,
119,35463,12/11/2010,copper star bank,Scottsdale,Maricopa,AZ,1,22,184184,138593,42371,2535,456,189559,182413,180230,-5375,-42416,6855,3.37,3.25,0.16,48303,0.029256339,14402.477,0.003268351,12/11/2010,1,
